		Pitch A		Pitch B		Pitch C		Pitch D	
									
		Match 1		Match 2		Match 3		Match 4	
Slot 1	3:30 p.m - 4:00 p.m	2015_Noida_Devils	5th class tigers	K R Mangalam 90 Minutes football club	CTC Mall Tradex (P) Ltd. Basava FC	allls stars	APJ United	K R Mangalam bayern munech	Bharti Public School Sr. Mayur Vihar
	Changeover	10 mins = warmup							
		Match 5		Match 6		Match 7		Match 8	
Slot 2	4:10 p.m - 4:40 p.m	Attacker	bazingas	Black  Tigers Team	CTC Mall Tradex (P) Ltd Black Panther	best fc delhi	BHARTI PUBLIC SCHOOL MAYUR VIHAR	K R Mangalam Black Sprinters	Meena Bazaar Blackops
	Changeover	10 mins = warmup							
		Match 9		Match 10		Match 11		Match 12	
Slot 3	4:50 p.m -5:20 p.m	Black Hunters	BLACK PANTHERS	Biba Apparels (P) Ltd. BULLZ FC	Classic VII FC	Black Tigers FC	Blue demons	Columban FC	DarkStars United
	Changeover	10 mins = warmup							
		Match 13		Match 14		Match 15		Match 16	
Slot 4	5:30 p.m - 6:00p.m	challenger champs	Classic Footballers	Senco Gold Delhi All Stars	Dream Team FC	CRY 1	delhi city fc	dreamkillers	BSES Dwarka United FC
	Changeover	10 mins = warmup							
		Match 17		Match 18		Match 19		Match 20	
Slot 5	6:10 p.m - 6:40 p.m	Delhi dabang	CRY 2	eagale fighter	CTC Mall Tradex (P) Ltd. EliteFC	DPS FC UNITED	Dream killers FC	EliteFC	faadu fc
	Changeover	10 mins = warmup							
		Match 21		Match 22		Match 23		Match 24	
Slot 6	6:50 p.m. - 7:20 p.m	AIR INDIA -1 (VASANT VIHAR)	AIR INDIA -2 (VASANT VIHAR)	Krishna Engineering A.B.F.C 	IPEC AGNI	AIR INDIA -3 (VASANT VIHAR)	CBI JUNIOR A	NICS Amrit Nagar Football Club	Jalsa Aravali Strikers
	Changeover	10 mins = warmup							
		Match 25		Match 26		Match 27		Match 28	
Slot 7	7:30 p.m - 8:00 p.m	Cequin Girls	CONQUERING DEMONS	Vishal megamart BARCA BOYS	Vintage Sunglasses Blackout FC	cskm	Daredevil R K Puram	Meena Bazaar BOSCO	N Chirag Travels (P) Ltd. Brotherz United FC
	Changeover	10 mins = warmup							
		Match 29		Match 30		Match 31		Match 32	
Slot 8	8:10 p.m - 8:40 p.m	delhistrikers	Dev Samaj Junior	Archies Ltd. Browns devils	Hazoorilal Jewellers CBI SR Team A Vasant vihar	School Junior Team (A)	Dream warriors	Runway Rising CHIRAG UNITED	Archies Ltd. Cr7
	Changeover	10 mins = warmup							
		Match 33		Match 34		Match 35		Match 36	
Slot 9	8:50 p.m - 9:20 p.m	DPS Junior Boys (B) Team	Elite Hawks	D-6 BLASTERS (V KUNJ)	DPS Boys Hostel 	Extreme Footballers Siddhartha Enclave	Fas United	Crusaders	FireBlaze Boys
	Changeover	10 mins = warmup							
		Match 37		Match 38		Match 39		Match 40	
Slot 10	9:30 p.m - 10:00 p.m	FC AIIMS	FC Cambridge	Senco Gold Dev Samaj Senior	Biba Apparels (P) Ltd. DMS RORKER sec 7	Furious 7	Impact (Gulmohar Park)	Dream Killers Madangir	Biba Apparels (P) Ltd. Dx - Rising stars
