		Pitch A		Pitch B		Pitch C		Pitch D	
									
		Match 1		Match 2		Match 3		Match 4	
Slot 1	3:30 p.m - 4:00 p.m	APJ United	BHARTI PUBLIC SCHOOL MAYUR VIHAR	K R Mangalam 90 Minutes football club 	Black  Tigers Team	Black Tigers FC	delhi city fc	Columban FC	BSES Dwarka United FC
	Changeover	10 mins = warmup							
		Match 5		Match 6		Match 7		Match 8	
Slot 2	4:10 p.m - 4:40 p.m	Delhi dabang	AIR INDIA -2 (VASANT VIHAR) 	CTC Mall Tradex (P) Ltd. EliteFC	Jalsa Aravali Strikers	cskm	School Junior Team (A)	Vishal megamart BARCA BOYS	Runway Rising CHIRAG UNITED 
	Changeover	10 mins = warmup							
		Match 9		Match 10		Match 11		Match 12	
Slot 3	4:50 p.m -5:20 p.m	Fas United	Impact (Gulmohar Park)	DPS Boys Hostel	Dream Killers Madangir	Impact (Vasant Kunj)	Merwa 	K R Mangalam hypervenom 	Ishan fire blaze
	Changeover	10 mins = warmup							
		Match 13		Match 14		Match 15		Match 16	
Slot 4	5:30 p.m - 6:00p.m	RED DEVILS FC	DYNAMIC STRIKERS 	LBS Football Club	FOOTBALL CLUB BABARPUR 	fc club 	Furious 9 	Galacticos Jr 	heroes 
	Changeover	10 mins = warmup							
		Match 17		Match 18		Match 19		Match 20	
Slot 5	6:10 p.m - 6:40 p.m	galactics	indian champs 	Impact Rohini 	invincibles fc 	mariansFC 	Ravens FC 	LEADERS FC 	 Frontier Bazaar navyug school mandir marg
	Changeover	10 mins = warmup							
		Match 21		Match 22		Match 23		Match 24	
Slot 6	6:50 p.m. - 7:20 p.m	realnoidarivals	SANGHURSH SPORTS ACADEMY TEAM B	Real United F.C 	Shadows 	SSHIVAJI FC	supersoccer	BSES SPORTINGS F.C.	STS ROCKERS
	Changeover	10 mins = warmup							
		Match 25		Match 26		Match 27		Match 28	
Slot 7	7:30 p.m - 8:00 p.m	The knights 	sarita vihar fc 	The Spartans 	LFA Remi Yoush 	Sooccer Rockerz 	Super Seven 	MOTI BAGH WARRIORS	Phoenix fc 
	Changeover	10 mins = warmup							
		Match 29		Match 30		Match 31		Match 32	
Slot 8	8:10 p.m - 8:40 p.m	thunder stars 	vasant kunj football club 	Safdarjung Enclav FC 	Slackers 	vasant Vihar D14	Vasant Vihar D6	Street Football club	Sunriser RK Puram
	Changeover	10 mins = warmup							
		Match 33		Match 34		Match 35		Match 36	
Slot 9	8:50 p.m - 9:20 p.m	Yusuf Tighers	Ultimate Warriors	Senco Gold The Frank Anhony Public School	Torque	Vatika Academy of Football	Junior Tigers	Warrior	Youngstar FC
	Changeover	10 mins = warmup							
		Match 37		Match 38		Match 39		Match 40	
Slot 10	9:30 p.m - 10:00 p.m	Young Boys	RN Vampires	VNPS - 1	GG Boys FC			DPS Sr Boys RK Puram	FC Ballbusters
