		Pitch A		Pitch B		Pitch C		Pitch D	
									
		Match 201		Match 202		Match 203		Match 204	
Slot 1	3:30 p.m - 4:00 p.m	Senco Gold street soccer champs	supersoccer	Step up 	STS ROCKERS	The knights 	THE MARTIAL EAGLES	SVIS 	The Spartans
	Changeover	10 mins = warmup							
		Match205		Match206		Match207		Match208	
Slot 2	4:10 p.m - 4:40 p.m	sarita vihar fc 	sn warriors	LFA Remi Yoush 	MANDAKINI TIGERS 	Sooccer Rockerz 	NARWA	MOTI BAGH WARRIORS 	NGFS SAKET/B
	Changeover	10 mins = warmup							
		Match 209		Match 210		Match 211		Match 212	
Slot 3	4:50 p.m -5:20 p.m	Super Seven 	THE GENESIS 	Phoenix fc 	RYAN 	thunder stars 	V.N.P.S	Safdarjung Enclav FC 	SIDEX 
	Changeover	10 mins = warmup							
		Match 213		Match 214		Match 215		Match 216	
Slot 4	5:30 p.m - 6:00p.m	vasant kunj football club 	Vasant Vihar D12 	Slackers 	Smokin Aces	Winner 121	Winner 123	Winner 122	Winner 124
	Changeover	10 mins = warmup							
									
									
									
									
									
									
									
									
									
									
									
									
