		Pitch A		Pitch B		Pitch C		Pitch D	
									
		Match 161		Match 162		Match 163		Match 164	
Slot 1	7:00 a.m - 7:30 a.m	Classic Footballers	delhi city fc	Dream Team FC	BSES Dwarka United FC	Delhi dabang	Dream killers FC	ELITE FC	CTC Mall Tradex (P) Ltd. EliteFC
	Changeover	10 mins = warmup							
		Match 165		Match 166		Match 167		Match 168	
Slot 2	7:40 a.m - 8:10 a.m	AIR INDIA -2 (VASANT VIHAR)	CBI JUNIOR A	Krishna Engineering A.B.F.C 	Jalsa Aravali Strikers	CONQUERING DEMONS	cskm	Vishal megamart BARCA BOYS	Meena Bazaar BOSCO
	Changeover	10 mins = warmup							
		Match 169		Match 170		Match 171		Match 172	
Slot 3	8:20 a.m -8:50 a.m	Dev Samaj Junior	School Junior Team (A)	Hazoorilal Jewellers CBI SR Team A Vasant vihar	Runway Rising CHIRAG UNITED	Elite Hawks	Fas United	DPS Boys Hostel 	Crusaders
	Changeover	10 mins = warmup							
		Match 173		Match 174		Match 175		Match 176	
Slot 4	9:00 a.m - 9:30a.m	FC AIIMS	Impact (Gulmohar Park)	Biba Apparels (P) Ltd. DMS RORKER sec 7	Dream Killers Madangir	Impact (Vasant Kunj)	IYSA (Jr - 2)	Hazoorilal Lal Jewellers  Football club calibri 	K R Mangalam hypervenom 
	Changeover	10 mins = warmup							
		Match 177		Match 178		Match 179		Match 180	
Slot 5	9:40 a.m - 10:10 a.m	Karan Wariyars 	Merwa 	Ishan fire blaze	Jamia Golden Girls 	NGFS Saket 	RED DEVILS FC	KV Champions	LBS Football Club
	Changeover	10 mins = warmup							
		Match 181		Match 182		Match 183		Match 184	
Slot 6	10:20 a.m. - 10:50 a.m	Dwarka Dare Devils	DYNAMIC STRIKERS 	FC POCKET 12 	FOOTBALL CLUB BABARPUR 	fc club 	FC NIRALA 	Footwork Fanatics 	Galacticos Jr 
	Changeover	10 mins = warmup							
		Match 185		Match 186		Match 187		Match 188	
Slot 7	11:00 a.m - 11:30 a.m	FCB Supertech 	Furious 9 	Galaxy7 	heroes 	galactics	GROOVE STRIKERS 	Impact Rohini 	K R Mangalam White Tigers 
	Changeover	10 mins = warmup							
		Match 189		Match 190		Match 191		Match 192	
Slot 8	11:40 p.m - 12:10 p.m	indian champs 	JANASAMSKRITI MAYURVIHAR 2 	invincibles fc 	Jhilmil rockers	Manchester Utd. 	mariansFC 	LEADERS FC 	ManchesteGzB FC 
	Changeover	10 mins = warmup							
		Match 193		Match 194		Match 195		Match 196	
Slot 9	12:20 p.m - 12:50 p.m	raimon juniors 	Ravens FC 	 Frontier Bazaar navyug school mandir marg	o.c fc	realnoidarivals	RN VAMPIRES	Real United F.C 	K R Mangalam S.B.D.A.V. TITANS 
	Changeover	10 mins = warmup							
		Match 197		Match 198		Match 199		Match 200	
Slot 10	1:00 p.m - 1:30 p.m	SANGHURSH SPORTS ACADEMY TEAM B	Springdales A 	SBCF 	Shadows 	SSHIVAJI FC	state bank united 	shooters fc 	BSES SPORTINGS F.C.
