		Match 1		Match 2		Match 3		Match 4	
Slot 1	3:30 p.m - 4:00 p.m	Oakwood Estate Boys	Alpha Strikers United Football Club	7ways	Back Benchers FC	Oakwood Estate Girls	DARK LIGTHNING	Black Hawks FC	Dead Walkers FC
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 5		Match 6		Match 7		Match 8	
Slot 2	4:10 p.m - 4:40 p.m	Dead Shot FC	FC 3:16	Devils FC	Excerjets FC	fc ajanta	FC PREDATORS - 'B'	f c sec 5	FC Agonists
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 9		Match 10		Match 11		Match 12	
Slot 3	4:50 p.m -5:20 p.m	Fc suncity	G W UNITED	fc bayern	football first	galatico warriors	gurgaon warriors	footballerzz	Gangs Of Southe
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 13		Match 14		Match 15		Match 16	
Slot 4	5:30 p.m - 6:00p.m	ALL STARS F.C	Bestech PVS FC	Galactico 11	Beverly Bullets	Eldeco United	Fresco Warriors	UNIWORLD F.C.	Sidemen XI
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 17		Match 18		Match 19		Match 20	
Slot 5	6:10 p.m - 6:40 p.m	Heritage Warriors	JMD TITANS	The Tatvanators	Princeton F.C.	HAMILTON STUNNERZ	PTFC Champions	Nirvana Tigers Football Club	Mohmaya
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 21		Match 22		Match 23		Match 24	
Slot 6	6:50 p.m. - 7:20 p.m	nirvana's footballers	Parkview Dynamos	Nirvana F.C	Galactico	PINK TOWN FC JUNIOR	Regaency park-II	the incredibles	Wembley Waveriders
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 25		Match 26		Match 27		Match 28	
Slot 7	7:30 p.m - 8:00 p.m	Ridgewood Strikers	Static Soccer FC	FC Oakwood	Palms FC	the underdogs	Ridgewood Warriors		
		Junior		Senior		Junior			
	Changeover	10 mins = warmup							
		Match 29		Match 30		Match 31		Match 32	
Slot 8	8:10 p.m - 8:40 p.m	Aralias FC	DLF-5 FC	FC Wembley Wizards	Richmond Rockers	Rising Star Academy	Westend Heights	Galaxy 7	SL69
		Junior		Junior		Junior		Junior	
	Changeover	10 mins = warmup							
		Match 33		Match 34		Match 35		Match 36	
Slot 9	8:50 p.m - 9:20 p.m	hero devel	JVT STRIKERS	GHAMROJ FC	Global fc	L!GHTN!NG BOLT$	Mathur Sports Academy	INAZUMA STRIKERS	Predators FC
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 37		Match 38		Match 39		Match 40	
Slot 10	9:30 p.m - 10:00 p.m	NEXTS	Retreat United FC	M.D.A RAJ NAGAR FOOTBALL TEAM	Nambardar	Royal Panthers	SCR juniors	POLICE LINE FC	PYLON PYTHONS
		Junior		Senior		Junior		Senior	
